species_key,observations_total,scientific_name,common_name,observations_after_assessment_year
2482051,1157569,Podiceps grisegena,Red-necked Grebe,536222
2483647,1157191,Pyrocephalus rubinus,Vermilion Flycatcher,603003
2481710,1155861,Tringa solitaria,Solitary Sandpiper,3947
9283578,1150941,Rhipidura albiscapa,Gray Fantail,2155
2492822,1149123,Cisticola juncidis,Zitting Cisticola,18845
9345027,1147849,Spatula cyanoptera,Cinnamon Teal,480231
2495858,1145735,Columbina talpacoti,Ruddy Ground-dove,667754
2484605,1143351,Bombycilla garrulus,Bohemian Waxwing,6730
2498393,1139283,Dendrocygna autumnalis,Black-bellied Whistling-duck,608023
2490716,1126945,Turdus grayi,Clay-colored Thrush,612136
2496060,1125391,Leptotila verreauxi,White-tipped Dove,634659
2480258,1124017,Recurvirostra americana,American Avocet,4863
2475648,1118397,Dacelo novaeguineae,Laughing Kookaburra,12431
7634625,1118311,Emberiza calandra,Corn Bunting,643548
6065811,1110454,Chroicocephalus novaehollandiae,Silver Gull,
2481205,1095173,Rissa tridactyla,Black-legged Kittiwake,308216
2487905,1084564,Baeolophus inornatus,Oak Titmouse,211
2489104,1081698,Sturnus unicolor,Spotless Starling,2863
2484904,1079977,Sitta pusilla,Brown-headed Nuthatch,203
2482033,1078696,Aechmophorus occidentalis,Western Grebe,477575
5228513,1073597,Archilochus alexandri,Black-chinned Hummingbird,498194
6092935,1069431,Setophaga striata,Blackpoll Warbler,592161
9568685,1067949,Empidonax difficilis,Pacific-slope Flycatcher,471211
2487397,1064490,Auriparus flaviceps,Verdin,298932
2480332,1059218,Pluvialis apricaria,European Golden-plover,305
2495358,1057417,Zenaida auriculata,Eared Dove,6108
2492521,1056777,Saxicola rubetra,Whinchat,39653
2491651,1055305,Chondestes grammacus,Lark Sparrow,447484
2498345,1054163,Cygnus buccinator,Trumpeter Swan,571775
2498338,1049075,Cygnus columbianus,Tundra Swan,975
5232005,1047943,Centropus sinensis,Greater Coucal,1981
4408732,1037900,Luscinia svecica,Bluethroat,437566
2495190,1035721,Ocyphaps lophotes,Crested Pigeon,6263
2478081,1033441,Melanerpes aurifrons,Golden-fronted Woodpecker,362
2474831,1016174,Rallus aquaticus,Water Rail,3318
5844398,1012932,Rupornis magnirostris,Roadside Hawk,585395
2498256,1006083,Aythya valisineria,Canvasback,383649
2482786,1002015,Empidonax traillii,Willow Flycatcher,432145
7341800,996728,Setophaga dominica,Yellow-throated Warbler,481984
2474639,990326,Porzana carolina,Sora,116
