species_key,observations_total,scientific_name,common_name,observations_after_assessment_year
2345418,12,Netuma proxima,Arafura Sea Catfish,
5202259,12,Hypostomus cochliodon,,5
5202451,12,Pangasius macronema,,7
5202478,12,Pangasius sanitwongsei,Giant Pangasius,9
5851647,12,Pseudoplatystoma reticulatum,,6
5961464,12,Ancistrus centrolepis,,1
9263351,12,Tympanopleura brevis,,0
9316200,12,Hypostomus wilsoni,,8
2407277,12,Torquigener hicksi,Hick's Toadfish,3
2407588,12,Takifugu bimaculatus,,9
6165908,12,Cantherhines nukuhiva,,0
2333109,12,Dunckerocampus boylei,Broad-banded Pipefish,7
5201004,12,Microphis manadensis,Shorttail Pipefish,5
5201055,12,Hippocampus colemani,Coleman's Pygmy Seahorse,12
2346795,12,Yarrella argenteola,Panamanian Lightfish,0
2347045,12,Astronesthes formosana,,0
2347168,12,Melanostomias niger,Fangtooth Dragonfish,0
2347170,12,Melanostomias tentaculatus,,0
2347210,12,Borostomias mononema,Sickle Snaggletooth,4
2559501,12,Asellaria ligiae,,
2415329,12,Cyttomimus affinis,,
2351971,12,Pillaia indica,,4
2410322,12,Scopelogadus unispinis,,0
2281769,12,Pontonema serratodentatum,,
2281836,12,Adoncholaimus crassicaudus,,
2282029,12,Trefusia litoralis,,
2282111,12,Mesacanthion virile,,
2282159,12,Paramesacanthion tricuspis,,
4349451,12,Rhaptothyreus typicus,,
4349458,12,Tripyloides acherusius,,
4349907,12,Viscosia wieseri,,
4349978,12,Wieseria pica,,
8267588,12,Oxyonchus stateni,,
2359134,12,Danionella translucida,,3
2359613,12,Rasbora patrickyapi,,0
2359818,12,Rhinichthys evermanni,Umpqua Dace,5
2360109,12,Gila elegans,Bonytail,8
2360948,12,Pseudophoxinus kervillei,,
2361308,12,Bangana ariza,,
2362215,12,Notropis asperifrons,Burrhead Shiner,0
2362583,12,Salmostoma bacaila,Large Razorbelly Minnow,10
2363090,12,Luciobarbus brachycephalus,Aral Barbel,3
2363216,12,Raiamas guttatus,,2
2364088,12,Puntius terio,Onespot Barb,6
2366133,12,Hypsibarbus malcolmi,Goldfin Tinfoil Barb,4
2366835,12,Garra makiensis,,0
2366891,12,Garra annandalei,Annandale Garra,8
2367514,12,Delminichthys krbavensis,Krbava Minnow,0
2367520,12,Delminichthys jadovensis,Jadova Minnow,0
2367713,12,Chanodichthys dabryi,Humpback,12
2367782,12,Yasuhikotakia morleti,Skunk Loach,5
2368162,12,Syncrossus hymenophysa,Banded Loach,4
4409624,12,Gobio feraeensis,Thessaly Gudgeon,0
5204947,12,Schistura nagaensis,,2
5205066,12,Schistura kohchangensis,,11
5205324,12,Nemacheilus selangoricus,Fighting Loach,10
5207138,12,Barbus thessalus,,
5207718,12,Cyprinella monacha,Chromium Shiner,6
5787955,12,Luciobarbus capito,Bulatmai Barbel,1
7193650,12,Telestes dabar,Dabarsko Dace,0
7393947,12,Pethia setnai,Indigo Barb,12
8350583,12,Dawkinsia tambraparniei,Tambraparini Barb,5
9280273,12,Enteromius jae,Jae Barb,6
2351546,12,Salmo peristericus,Prespa Trout,0
2417547,12,Orectolobus japonicus,Japanese Carpet Shark,3
2418477,12,Apristurus longicephalus,Longhead Catshark,0
2419777,12,Gurgesiella atlantica,Atlantic Finless Skate,0
2419817,12,Breviraja spinosa,Spinose Skate,0
2419840,12,Cruriraja parcomaculata,Triangular Legskate,0
2420167,12,Dipturus macrocauda,Bigtail Skate,
2420197,12,Dipturus melanospilus,Blacktip Skate,0
2420311,12,Bathyraja maccaini,Mccain's Skate,0
2421002,12,Cirrhigaleus australis,Southern Mandarin Shark,0
2421004,12,Miroscyllium sheikoi,,
5215563,12,Glyphis gangeticus,Ganges Shark,6
8324168,12,Heterodontus japonicus,Cestracion Shark,
10431425,11,Geoplana paranapiacaba,,
6476006,11,Humbertium diana,,
6476095,11,Bipalium monolineatum,,
6476160,11,Diversibipalium indicum,,
6476889,11,Australopacifica dendyi,,
9505624,11,Microplana nervosa,,
11728421,11,Clavicaudoides clavicaudatus,,
2282624,11,Dorylaimus stagnalis,,
2282659,11,Aporcelaimus superbus,,
4554395,11,Longidorus vineacola,,
4554410,11,Longidorus elongatus,,
4555021,11,Prodorylaimium brigdammense,,
10833850,11,Gymnothorax pharaonis,,
2403227,11,Ariosoma selenops,,0
2403395,11,Bathycongrus thysanochilus,Conger Eel,3
2404835,11,Muraenichthys schultzei,Maimed Snake Eel,2
